date,basket,side,kind,qty,price,value,fee,pnl,reason
2002-06-11,1,BUY,LOC,97.94092449075396,14.430195,1413.3066388818552,1.4133066388818551,,first_slice
2002-06-12,1,SELL,LOC,97.94092449075396,15.760298,1543.5781563697806,1.5435781563697806,128.72793933155572,lot_tp
2002-06-13,1,BUY,LOC,128.07038817274506,15.113203,1935.553774743495,1.9355537747434952,,dip_slice
2002-06-17,1,SELL,LOC,128.07038817274506,17.292627,2214.6734524164917,2.2146734524164917,276.90500422057994,lot_tp
2002-06-18,1,BUY,LOC,104.43289518870148,16.6812,1742.0660112217672,1.7420660112217672,,dip_slice
2002-06-19,1,BUY,LOC,108.26742846695615,13.329664,1443.1684436085604,1.4431684436085606,,dip_slice
2002-06-20,1,BUY,LOC,120.41653984732598,11.56023,1392.0428964392534,1.3920428964392533,,dip_slice
2002-06-24,1,SELL,LOC,33.311686350298366,12.04663,401.29356013809485,0.40129356013809486,-56.83546854900146,upday_sell
2002-06-27,1,SELL,LOC,29.980517715268526,11.353758,340.3915428538717,0.34039154285387174,-71.90381030324454,upday_sell
2002-07-03,1,SELL,LOC,26.982465943741673,9.178815,247.66706314140524,0.24766706314140524,-123.3400693745723,upday_sell
2002-07-05,1,SELL,LOC,24.284219349367504,11.443315,277.8919715439074,0.27789197154390743,-56.06943933518903,upday_sell
2002-07-11,1,SELL,LOC,21.855797414430754,9.468724,206.94651351715842,0.20694651351715843,-93.57560001315593,upday_sell
2002-07-12,1,SELL,LOC,19.67021767298768,10.023203,197.15858479054313,0.19715858479054313,-73.32222410936495,upday_sell
2002-07-15,1,SELL,LOC,17.70319590568891,10.099123,178.78675294464873,0.17878675294464874,-64.64731909190164,upday_sell
2002-07-16,1,SELL,LOC,15.932876315120021,10.722234,170.8360281437746,0.1708360281437746,-48.264564639614406,upday_sell
2002-07-17,1,SELL,LOC,14.33958868360802,10.867761,155.8392226517566,0.1558392226517566,-41.35339765061582,upday_sell
2002-07-24,1,SELL,LOC,12.905629815247217,8.222573,106.11748326684676,0.10611748326684677,-71.32173718816867,upday_sell
2002-07-29,1,SELL,LOC,11.615066833722496,6.630785,77.01701093504462,0.07701701093504462,-82.65979875046419,upday_sell
2002-07-30,1,SELL,LOC,10.453560150350249,7.170325,74.95542368506015,0.07495542368506015,-68.7593451457413,upday_sell
2002-08-06,1,SELL,LOC,9.408204135315222,4.375632,41.16683907701762,0.04116683907701762,-88.15015982846414,upday_sell
2002-08-07,1,SELL,LOC,8.467383721783701,4.652174,39.391742398505365,0.03939174239850537,-76.99589820365742,upday_sell
2002-08-08,1,SELL,LOC,7.620645349605332,5.169758,39.39689226128496,0.03939689226128496,-65.35592860476419,upday_sell
2002-08-14,1,SELL,LOC,6.858580814644798,4.981542,34.16630838854728,0.03416630838854728,-60.10993949625035,upday_sell
2002-08-15,1,SELL,LOC,6.1727227331803185,5.292341,32.66815360244226,0.03266815360244226,-52.18238796992834,upday_sell
2002-08-16,1,SELL,LOC,5.555450459862287,6.278484,34.87980682503801,0.03487980682503801,-41.49115905867839,upday_sell
2002-08-19,1,SELL,LOC,4.999905413876059,7.16409,35.81977237649534,0.035819772376495335,-32.918524865083384,upday_sell
2002-08-21,1,SELL,LOC,4.499914872488453,7.034213,31.653359694951618,0.031653359694951616,-30.21052338702533,upday_sell
2002-08-22,1,SELL,LOC,4.049923385239608,7.152366,28.966534323192672,0.028966534323192673,-26.711438961184342,upday_sell
2002-08-26,1,SELL,LOC,3.6449310467156475,5.902078,21.512667342337398,0.021512667342337397,-28.592951400053366,upday_sell
2002-08-29,1,SELL,LOC,3.280437942044083,4.361541,14.30776458218089,0.014307764582180891,-30.78223864994488,upday_sell
2002-09-04,1,SELL,LOC,2.9523941478396747,3.639496,10.745226691485904,0.010745226691485903,-29.833644455994808,upday_sell
2002-09-06,1,SELL,LOC,2.657154733055707,3.738267,9.933153852475959,0.00993315385247596,-26.588092630086827,upday_sell
2002-09-10,1,SELL,LOC,2.391439259750136,3.959141,9.468045222286413,0.009468045222286413,-23.401604818775148,upday_sell
2002-09-11,1,SELL,LOC,2.1522953337751227,4.15214,8.936631547181038,0.008936631547181039,-20.646468880621494,upday_sell
2002-09-24,1,SELL,LOC,1.9370658003976104,1.911202,3.702124031851514,0.003702124031851514,-22.918325508810153,upday_sell
2002-09-25,1,SELL,LOC,1.7433592203578496,2.307683,4.023120435713063,0.0040231204357130635,-19.935975359689486,upday_sell
2002-10-01,1,SELL,LOC,1.5690232983220647,2.138061,3.354667522233772,0.003354667522233772,-18.208252552758616,upday_sell
2002-10-10,1,SELL,LOC,1.4121209684898581,1.491933,2.1067898728819796,0.0021067898728819798,-17.29892578371404,upday_sell
2002-10-11,1,SELL,LOC,1.2709088716408723,1.894323,2.407511906453352,0.002407511906453352,-15.058143585503922,upday_sell
2002-10-14,1,SELL,LOC,1.1438179844767853,1.912923,2.1880357303192857,0.0021880357303192856,-13.531075487456775,upday_sell
2002-10-15,1,SELL,LOC,1.0294361860291068,2.482121,2.5551851755027526,0.0025551851755027527,-11.59260087351392,upday_sell
2002-10-17,1,SELL,LOC,0.926492567426196,2.044842,1.8945309145609175,0.0018945309145609176,-10.838071393810694,upday_sell
2002-10-18,1,SELL,LOC,0.8338433106835764,2.151296,1.7938437789003352,0.0017938437789003353,-9.665587064589912,upday_sell
2002-10-21,1,SELL,LOC,0.7504589796152189,2.5484,1.9124696636514238,0.001912469663651424,-8.40131610575244,upday_sell
2002-10-23,1,SELL,LOC,0.675413081653697,2.501991,1.6898774515798147,0.0016898774515798148,-7.592498395637956,upday_sell
2002-10-25,1,SELL,LOC,0.6078717734883274,2.618552,1.591743848211407,0.001591743848211407,-6.762465268426379,upday_sell
2002-10-28,1,SELL,LOC,0.5470845961394947,2.673662,1.4627192954835138,0.0014627192954835139,-6.056099059322585,upday_sell
2002-10-30,1,SELL,LOC,0.4923761365255452,2.806962,1.3820811049340174,0.0013820811049340175,-5.38492104813047,upday_sell
2002-11-01,1,SELL,LOC,0.4431385228729907,3.185997,1.4118380044577798,0.00141183800445778,-4.678631898310277,upday_sell
2002-11-04,1,SELL,LOC,0.39882467058569165,3.702846,1.4767863361795461,0.0014767863361795461,-4.0048427084438725,upday_sell
2002-11-06,1,SELL,LOC,0.3589422035271225,3.79038,1.3605273494051346,0.0013605273494051346,-3.5729702104027865,upday_sell
2002-11-12,1,SELL,MOC,3.230479831744102,2.643422,8.539521457788657,0.008539521457788657,-35.85825135579577,time_hard
2002-11-13,2,BUY,LOC,313.32263560401935,2.604313,815.9902130978104,0.8159902130978104,,first_slice
2002-11-14,2,SELL,LOC,313.32263560401935,3.245354,1016.8428687480466,1.0168428687480466,199.83581278148813,lot_tp
2003-01-16,2,BUY,LOC,619.3602420390353,2.345461,1452.6852926531176,1.4526852926531175,,dip_slice
2003-01-23,2,SELL,LOC,61.93602420390353,2.062756,127.75890554274721,0.12775890554274721,-17.637382628107304,upday_sell
