id,opened,closed,status,budget,pnl,ret,n_buys,n_sells,hold_days,reason
1,2011-01-03,2011-03-31,closed,25000.0,1358.187631929865,0.0543275052771946,17,31,61,time_soft
2,2011-01-06,2011-04-05,closed,25000.0,1661.671088294773,0.06646684353179091,20,31,61,time_soft
3,2011-01-11,2011-04-08,closed,25000.0,2004.5801272073925,0.0801832050882957,20,37,61,time_soft
4,2011-01-14,2011-04-13,closed,25000.000000000015,1287.7406866224428,0.051509627464897685,23,41,61,time_soft
5,2011-03-31,2011-07-01,closed,26299.871044376305,438.12333925352164,0.016658763783072062,25,47,64,time_soft
6,2011-04-05,2011-06-13,closed,26610.54131932994,-1388.1482585960202,-0.052165352141396205,19,32,47,regime_bear
7,2011-04-08,2011-06-13,closed,26785.794682219333,-1186.0747962893583,-0.044279992823087165,17,27,44,regime_bear
8,2011-04-13,2011-06-13,closed,26356.827125382457,-1444.720608561593,-0.05481390463612676,15,22,41,regime_bear
9,2011-07-11,2011-10-25,closed,25682.839802465303,192.20077248313012,0.007483626186255334,23,50,75,time_soft
10,2011-10-25,2012-01-23,closed,25730.889995586083,1346.7515205066786,0.052339873231656675,15,41,60,time_soft
11,2012-01-11,2012-01-17,closed,25962.994584018667,30.970857795881603,0.001192884653411494,1,1,3,regime_bear
12,2012-02-13,2012-05-17,closed,26075.32059016173,-3238.592499140982,-0.12420144511522936,24,41,66,regime_bear
13,2012-02-16,2012-05-17,closed,26075.32059016173,-3238.592499140982,-0.12420144511522936,24,41,63,regime_bear
14,2012-02-22,2012-06-22,closed,25961.130976008702,-1863.687833198308,-0.07178762107554507,33,56,85,regime_bear
15,2012-02-27,2012-05-17,closed,25960.912805351465,-3220.013773966806,-0.12403314930063042,22,33,57,regime_bear
16,2012-06-20,2012-09-17,closed,23264.631407008543,1664.3331063247406,0.07153919944862548,20,38,61,time_soft
17,2012-08-03,2012-09-06,closed,23369.59419785832,959.2918691723538,0.04104871745099737,9,9,23,regime_bear
18,2012-08-08,2012-09-06,closed,23369.59419785832,959.2918691723538,0.04104871745099737,9,9,20,regime_bear
19,2012-08-13,2012-09-06,closed,22736.575952474763,836.8195813055568,0.03680499575022743,8,8,17,regime_bear
20,2012-10-03,2013-01-02,closed,24290.03304529374,1026.4946385650867,0.04225991115989745,19,43,60,time_soft
21,2012-12-11,2012-12-14,closed,24361.758964606106,-219.27665563158638,-0.009000854821286167,2,1,3,regime_bear
22,2013-01-14,2013-04-12,closed,24491.837541027115,1752.2894133126297,0.07154585320016556,14,28,61,time_soft
23,2013-01-17,2013-04-17,closed,24559.136266645004,1755.8439534435263,0.07149453198923067,15,30,61,time_soft
24,2013-01-23,2013-04-22,closed,24576.109359563743,1854.6151405214166,0.07546414745260306,16,29,61,time_soft
25,2013-01-28,2013-04-24,closed,24340.266996872582,1974.660708603749,0.08112732324823997,16,32,60,time_soft
26,2013-04-12,2013-07-10,closed,26069.735951057643,2200.2410546478754,0.08439828691700317,16,36,61,time_soft
27,2013-04-17,2013-07-12,closed,26230.655479244306,1867.1450991512047,0.07118179340309022,14,35,60,time_soft
28,2013-04-22,2013-07-17,closed,26431.58298241708,1721.8244508712446,0.06514269130292512,13,33,60,time_soft
29,2013-04-25,2013-07-23,closed,26499.10878967115,1640.2395559094625,0.061897913961121466,14,34,61,time_soft
30,2013-07-10,2013-10-04,closed,28175.119852670003,711.6552859861386,0.025258287798151063,16,41,61,time_soft
31,2013-07-15,2013-10-09,closed,28204.167963372507,675.673364814728,0.023956507622993693,17,39,61,time_soft
32,2013-07-18,2013-10-14,closed,28192.88484126487,1437.2460964918077,0.05097903618533441,18,42,61,time_soft
33,2013-07-23,2013-10-17,closed,28096.683310881588,1789.1135224010588,0.06367703627524433,18,39,61,time_soft
34,2013-10-04,2013-12-31,closed,28952.12871103677,1486.6555104240751,0.05134874624460173,11,20,60,time_soft
35,2013-10-09,2014-01-07,closed,28857.79376609344,1057.1774770859072,0.03663403674081424,10,16,61,time_soft
36,2013-10-14,2014-01-10,closed,29420.829590257646,1403.797801586723,0.0477144193803282,11,19,61,time_soft
37,2013-10-17,2014-01-14,closed,29583.021725214796,1483.9094261936752,0.050160846987746345,12,32,60,time_soft
38,2013-12-31,2014-03-31,closed,30392.3196966865,2455.0813058300737,0.08077966178072736,18,32,61,time_soft
39,2014-01-07,2014-04-03,closed,30469.201033524412,2184.685692086927,0.07170144335859605,16,32,60,time_soft
40,2014-01-10,2014-04-09,closed,30723.509080738128,2307.6967663965706,0.07511175759032564,17,33,61,time_soft
